;Reglas de asignación de pedidos a almacenes o tiendas;;;
;Integración con sistemas de almacén y envíos (WMS; transportistas);;
;Atención al cliente sobre pedidos (consulta y modificación de pedidos);;;
Experience Cloud;Creación de comunidades y portales web;;;
;Plantillas predefinidas de portal (para clientes; socios; empleados);
;Foros de discusión y casos de autoservicio para clientes;;;
;Base de conocimientos pública para autoservicio;;;
;Gestión de usuarios externos (partners; clientes) y sus permisos;;
;Personalización del diseño y branding del portal;;;
;Integración de datos CRM en páginas (cuentas; casos; pedidos; etc.)
;Diseño responsive y acceso móvil a la comunidad;;;
;Gamificación y reconocimiento de participación (puntos; clasificaciones);;
Salesforce Platform (Lightning Platform);Desarrollo de aplicaciones personalizadas (declarativo y con código);;;
;Modelo de datos flexible (objetos y campos personalizados);;;
;Automatización de procesos (Flow Builder; Workflow; Process Builder);
;Desarrollo programático (Apex; Lightning Web Components);;
;Constructor de interfaces (Lightning App Builder; páginas Lightning personalizadas);;
;Integración mediante APIs y servicios web (REST; SOAP; eventos de plataforma);
;Seguridad de nivel empresarial (roles; perfiles; encriptación con Shield);
;Identidad y gestión de usuarios (SSO; autenticación multifactor);;
;AppExchange (ecosistema de aplicaciones de terceros integrables);;;
;Aplicación móvil y SDK para desarrollo mobile;;;
;Analítica integrada (informes; paneles y Einstein Analytics embebido);;
MuleSoft (Anypoint Platform);Integración de sistemas y APIs;;;
;Diseño de APIs y conectores (Design Center);;;
;Desarrollo de flujos de integración (Anypoint Studio);;;
;Biblioteca de conectores reutilizables (Anypoint Exchange);;;
;Gestión del ciclo de vida de APIs (API Manager);;;
;Pasarela de API segura y escalable (API Gateway);;;
;Ejecución híbrida en la nube o local (CloudHub; Runtime Fabric);;
;Monitoreo y alertas de integraciones (Anypoint Monitoring);;;
;Análisis de uso de APIs e integraciones (Anypoint Analytics);;;
;Gestión de accesos y políticas de seguridad para APIs;;;
;Integración en tiempo real y por lotes (procesamiento de datos flexible);;;
Heroku;Plataforma como servicio para aplicaciones (PaaS);;;
;Implementación sencilla de apps mediante git;;;
;Dynos (contenedores escalables para ejecutar aplicaciones);;;
;Escalado automático y manual de aplicaciones web;;;
;Add-ons de Heroku (servicios adicionales: bases de datos; caché; etc.);
;Heroku Postgres (base de datos SQL como servicio);;;
;Heroku Redis (almacenamiento en caché como servicio);;;
;Pipelines de entrega continua (CI/CD integrado);;;
;Heroku Connect (sincronización de datos con Salesforce CRM);;;
;Entornos privados y seguros (Heroku Private Spaces para empresas);;;
;Monitorización y registros en tiempo real (logging y métricas);;;
Einstein (Inteligencia Artificial);Modelos predictivos personalizados sin código (Einstein Prediction Builder);;;
;Análisis avanzado de datos con IA (Einstein Discovery);;;
;Reconocimiento de imágenes y visión artificial (Einstein Vision);;;
;Procesamiento de lenguaje natural (Einstein Language: clasificación de texto; análisis de sentimiento);;
;Bots de atención al cliente con IA (Einstein Bots);;;
;Recomendaciones de siguiente mejor acción (Einstein Next Best Action);;;
;Predicciones de ventas con IA (Einstein Forecasting);;;
;Puntuación predictiva de leads y oportunidades (Einstein Lead & Opportunity Scoring);;;
;Reconocimiento de texto en documentos (Einstein OCR);;;
;Generación de lenguaje natural (resúmenes y respuestas automáticas con IA);;;
;Optimización del envío de comunicaciones (Einstein Send Time Optimization);;;
;Recomendaciones de productos con IA (Einstein Product Recommendations en Commerce);;;
Tableau;Visualización interactiva de datos (Business Intelligence);;;
;Tableau Desktop (creación de informes y dashboards con drag-and-drop);;;
;Tableau Server (colaboración y compartición de análisis on-premise);;;
;Tableau Cloud (BI en la nube; plataforma SaaS antes llamada Tableau Online);;
;Tableau Prep (preparación y transformación de datos);;;
;Conectividad a múltiples fuentes de datos (bases; hojas de cálculo; big data; APIs)
;Análisis avanzado integrado (estadísticas; tendencias; proyecciones);
;Compartición interactiva de paneles (publicación web y embebido);;;
;Exploración móvil de dashboards (app móvil de Tableau);;;
;Alertas y suscripciones basadas en datos;;;
;Extensibilidad con APIs e integración de R/Python para análisis;;;
Salesforce CRM Analytics (Tableau CRM);Analítica avanzada de datos CRM integrada en Salesforce;;;
;Dashboards CRM interactivos dentro de Salesforce;;;
;Exploración de datos CRM con herramientas de drag-and-drop;;;
;Inteligencia aumentada en informes (explicaciones automáticas; Einstein Discovery);;
;Conectores nativos a datos de Salesforce y externos;;;
;Predicciones y recomendaciones integradas en el flujo de trabajo (insights accionables);;;
;Plantillas analíticas específicas por industria (sales; service; etc.);
;Seguridad de datos integrada (control por roles y nivel de registro);;;
;Acceso móvil y offline a insights (aplicación Salesforce Analytics);;;
Slack;Comunicación en canales organizados por temas;;;
;Mensajería instantánea individual y grupal;;;
;Compartición de archivos y documentos;;;
;Integración con aplicaciones externas (Salesforce; Google Workspace; etc.);
;Búsqueda en historial de conversaciones y archivos;;;
;Llamadas de voz y videollamadas integradas;;;
;Slack Connect (colaboración con empresas externas en canales compartidos);;;
;Automatización y bots personalizados (Workflow Builder; apps en Slack);;
;Seguridad empresarial y cumplimiento (Enterprise Key Management; archivado);;
Quip;Documentos de texto colaborativos en tiempo real;;;
;Hojas de cálculo colaborativas con cálculos en vivo;;;
;Listas de verificación y gestión de proyectos básica en documentos;;;
;Comentarios en contexto y chat integrado en documentos;;;
;Integración de documentos con registros Salesforce (sincronización de datos);;;
;Control de versiones e historial de cambios en documentos;;;
;Plantillas de documentos para procesos recurrentes;;;
;Acceso móvil y offline a documentos colaborativos;;;
Financial Services Cloud;Gestión de clientes financieros (banca; seguros; inversiones);
;Vista 360° de cuentas: activos financieros; pólizas; préstamos; patrimonio
;Gestión de relaciones y grupos familiares (householding);;;
;Planes de acción para asesoría financiera (tareas y seguimiento de objetivos del cliente);;;
;Flujos de trabajo para cumplimiento normativo (KYC; documentación legal);;
;Segmentación de clientes por valor; riesgo u oportunidades;;
;Integración con sistemas bancarios y core de seguros (datos transaccionales);;;
Health Cloud;Expediente unificado del paciente;;;
;Gestión de planes de atención y cuidado médico;;;
;Coordinación del equipo de atención (médicos; enfermeros; coordinadores);
;Programación y recordatorios de citas médicas;;;
;Integración de datos clínicos (EHR; historiales) en el CRM;;
;Seguimiento de medicamentos y adherencia de pacientes;;;
;Portal de pacientes para autoservicio (acceso a plan de cuidado; comunicación segura);;
Manufacturing Cloud;Gestión de acuerdos de ventas recurrentes (Sales Agreements);;;
;Pronósticos de ventas y demanda por cliente a largo plazo;;;
;Visibilidad de volúmenes comprometidos vs. reales;;;
;Colaboración con clientes en pronósticos y pedidos;;;
;Integración con sistemas de producción y ERP para cumplimiento de pedidos;;;
;Análisis de variaciones entre previsiones y ventas reales;;;
;Gestión de precios y descuentos especiales para fabricantes;;;
Consumer Goods Cloud;Gestión de visitas a tiendas minoristas;;;
;Planificación de rutas para representantes de campo;;;
;Ejecución en tienda (levantamiento de pedidos; auditoría de anaqueles);;
;Seguimiento de inventario y presencia de producto en tienda;;;
;Gestión de promociones en punto de venta;;;
;Captura de encuestas y datos de mercado durante visitas;;;
;Informes sobre cumplimiento en tienda y ventas por ubicación;;;
Education Cloud;Gestión del ciclo de vida del estudiante (reclutamiento; admisión; progreso);
;Seguimiento de interacciones con estudiantes; exalumnos y donantes;;
;Comunidad educativa para estudiantes y exalumnos (portales);;;
;Gestión de casos de soporte estudiantil y asesoría académica;;;
;Administración de becas; subvenciones y ayuda financiera;;
;Integración con sistemas académicos (registros; LMS);;
;Análisis de éxito estudiantil (predicción de deserción; rendimiento);;
Nonprofit Cloud;Gestión de donantes y donaciones;;;
;Seguimiento de subvenciones y subvencionados (grant management);;;
;Gestión de voluntarios y sus calendarios;;;
;Gestión de miembros y afiliados (organizaciones sin fines de lucro);;;
;Campañas de recaudación de fondos y eventos benéficos;;;
;Base de datos unificada de beneficiarios y stakeholders;;;
;Informes de impacto social y cumplimiento para donantes;;;
;Integración con pasarelas de pago para donaciones en línea;;;
Sustainability Cloud (Net Zero Cloud);Seguimiento de emisiones de carbono de la organización;;;
;Registro de consumo de energía y recursos por unidad de negocio;;;
;Cálculo automatizado de la huella de carbono corporativa;;;
;Informes de sostenibilidad y cumplimiento ambiental;;;
;Modelado de escenarios de reducción de emisiones;;;
;Gestión de iniciativas ecológicas (proyectos de reducción; compensaciones);;
;Visualización de datos ambientales en dashboards;;;
Salesforce CPQ & Billing;Configuración de productos con reglas y opciones (CPQ);;;
;Generación de cotizaciones de precios automatizada;;;
;Cálculo de descuentos; precios escalonados y promociones;;
;Flujo de aprobaciones para precios y descuentos especiales;;;
;Creación de contratos desde cotizaciones aprobadas;;;
;Renovaciones automáticas de contratos y suscripciones;;;
;Facturación recurrente automática (Billing de suscripciones);;;
;Gestión de impuestos y multimoneda en facturación;;;
;Integración de pagos y cobros (pasarelas de pago);;;
;Informes de ingresos y pronósticos de flujo de caja;;;
Salesforce Maps;Visualización geográfica de datos de clientes en mapas;;;
;Optimización de rutas de visitas de ventas y servicio;;;
;Planificación y gestión de territorios comerciales;;;
;Asignación eficiente de visitas y recorridos a equipos de campo;;;
;Análisis geoespacial de rendimiento (ventas por región; cobertura);;
;Integración con dispositivos móviles para navegación y check-ins;;;
